,Plate,Row,Column,Rep,Acetate,Butyrate,Succinate,Lactate,Treatment,OD,Total,PC Reads,PC Fraction,PC,PJ Reads,PJ Fraction,PJ,BV Reads,BV Fraction,BV,BF Reads,BF Fraction,BF,BO Reads,BO Fraction,BO,BT Reads,BT Fraction,BT,BC Reads,BC Fraction,BC,BY Reads,BY Fraction,BY,BU Reads,BU Fraction,BU,DP Reads,DP Fraction,DP,BL Reads,BL Fraction,BL,BA Reads,BA Fraction,BA,BP Reads,BP Fraction,BP,CA Reads,CA Fraction,CA,EL Reads,EL Fraction,EL,FP Reads,FP Fraction,FP,CH Reads,CH Fraction,CH,AC Reads,AC Fraction,AC,BH Reads,BH Fraction,BH,CG Reads,CG Fraction,CG,ER Reads,ER Fraction,ER,RI Reads,RI Fraction,RI,CC Reads,CC Fraction,CC,DL Reads,DL Fraction,DL,DF Reads,DF Fraction,DF
10,1,C,2,1,16.99862322,36.1607816,29.21639904,2.7986403,PC-PJ-BF-BO-BT-BU-BL-EL-FP-CH-AC-BH-ER,2.55,10498,1780,0.170645192,1,299,0.028664558,1,1,9.59E-05,0,1013,0.097114371,1,1206,0.115616911,1,1195,0.114562362,1,0,0,0,0,0,0,305,0.029239766,1,0,0,0,32,0.003067779,1,2,0.000191736,0,0,0,0,0,0,0,11,0.001054549,1,4,0.000383472,1,1659,0.159045154,1,2316,0.222030486,1,4,0.000383472,1,0,0,0,602,0.057712587,1,0,0,0,0,0,0,1,9.59E-05,0,1,9.59E-05,0
11,1,D,2,1,24.24256888,37.45109216,29.47825164,3.5505819,PC-PJ-BV-BF-BC-EL-CH-AC-BH-CG-RI,2.089,9821,1729,0.176428571,1,171,0.01744898,1,500,0.051020408,1,800,0.081632653,1,1,0.000102041,0,0,0,0,1985,0.20255102,1,1,0.000102041,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.000204082,0,0,0,0,19,0.001938776,1,0,0,0,1498,0.152857143,1,2596,0.264897959,1,8,0.000816327,1,486,0.049591837,1,1,0.000102041,0,3,0.000306122,1,0,0,0,0,0,0,0,0,0
12,1,E,2,1,17.91054122,37.53983576,32.11832296,2.5107948,PC-BV-BF-BY-BU-EL-FP-CH-AC-ER-DF,2.02,11973,1598,0.133746234,1,0,0,0,534,0.044693673,1,1011,0.084616672,1,1,8.37E-05,0,0,0,0,0,0,0,395,0.033059926,1,216,0.018078339,1,0,0,0,0,0,0,1,8.37E-05,0,0,0,0,0,0,0,13,0.001088048,1,11,0.000920656,1,3172,0.265483763,1,2983,0.249665216,1,0,0,0,1,8.37E-05,0,779,0.065199197,1,0,0,0,0,0,0,0,0,0,1233,0.103197188,1
13,1,F,2,1,24.05704662,37.21200122,31.46743856,4.24233693,PC-BV-BF-BT-BU-BL-CA-EL-CH-AC-BH-RI,2.299,7506,1126,0.150233489,1,0,0,0,501,0.066844563,1,548,0.07311541,1,1,0.000133422,0,844,0.112608406,1,0,0,0,0,0,0,225,0.030020013,1,0,0,0,54,0.007204803,1,1,0.000133422,0,0,0,0,420,0.056037358,1,15,0.002001334,1,0,0,0,1854,0.24736491,1,1899,0.253368913,1,5,0.000667111,1,0,0,0,0,0,0,2,0.000266845,1,0,0,0,0,0,0,0,0,0
14,1,G,2,1,20.33372772,35.5628018,34.19470924,2.81799129,PC-BV-BF-BO-CA-EL-FP-CH-AC-BH-ER,2.025,11886,1696,0.143911752,1,0,0,0,651,0.055239711,1,1859,0.157742894,1,1622,0.137632584,1,4,0.000339415,0,1,8.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,0.053712346,1,19,0.001612219,1,6,0.000509122,1,1288,0.109291472,1,3342,0.283580823,1,8,0.000678829,1,0,0,0,656,0.05566398,1,0,0,0,0,0,0,0,0,0,0,0,0
15,1,H,2,1,32.9397438,34.55260976,32.17947644,2.48634222,PC-PJ-BV-BF-BO-BU-CA-CH-AC-BH-CG,2.433,11587,2291,0.198768003,1,171,0.014836023,1,165,0.014315461,1,777,0.067412806,1,1285,0.111487073,1,3,0.000260281,0,1,8.68E-05,0,0,0,0,289,0.025073746,1,0,0,0,0,0,0,0,0,0,0,0,0,293,0.025420788,1,0,0,0,0,0,0,735,0.06376887,1,5062,0.439180982,1,9,0.000780843,1,445,0.038608364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,A,3,1,43.63582962,20.41732244,31.03085596,21.15397062,BV-BF-BC-BY-BU-DP-BL-EL-CH-AC-CG,1.991,13651,75,0.005519576,0,8,0.000588755,0,219,0.016117162,1,1897,0.139608478,1,0,0,0,1,7.36E-05,0,2256,0.166028849,1,1392,0.102443332,1,424,0.031204004,1,71,0.005225199,1,199,0.014645275,1,19,0.001398293,0,0,0,0,4,0.000294377,0,9,0.000662349,1,0,0,0,1019,0.074992641,1,5484,0.403591404,1,0,0,0,497,0.036576391,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0.001030321,0
17,1,B,3,1,29.79276598,40.20972914,29.287802,3.47000802,PC-PJ-BV-BF-BY-BU-BA-EL-FP-CH-AC-CG-RI,2.743,13718,4629,0.338426671,1,293,0.02142126,1,216,0.015791782,1,1197,0.087512794,1,4,0.00029244,0,1,7.31E-05,0,0,0,0,647,0.047302237,1,314,0.022956573,1,0,0,0,0,0,0,1069,0.078154701,1,0,0,0,3,0.00021933,0,4,0.00029244,1,15,0.001096652,1,656,0.047960228,1,4085,0.298654774,1,0,0,0,531,0.038821465,1,1,7.31E-05,0,7,0.000511771,1,0,0,0,1,7.31E-05,0,5,0.000365551,0
18,1,C,3,1,23.50995518,36.38392364,26.96630892,3.30038301,PC-PJ-BF-BC-BU-DP-CA-EL-FP-CH-AC-CG,1.854,12987,2718,0.209932803,1,491,0.037923843,1,0,0,0,1594,0.123117324,1,0,0,0,0,0,0,2814,0.217347648,1,0,0,0,407,0.031435854,1,52,0.004016374,1,0,0,0,1,7.72E-05,0,0,0,0,478,0.03691975,1,11,0.000849618,1,35,0.002703329,1,1883,0.145439098,1,1939,0.149764424,1,0,0,0,524,0.040472696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,D,3,1,30.8418872,24.53964086,34.09056208,11.97350892,PJ-BV-BF-BO-BU-DP-BL-CA-EL-FP-CH-AC,2.175,13669,0,0,0,510,0.037505516,1,739,0.054346227,1,2057,0.151272246,1,1931,0.142006177,1,3,0.000220621,0,1,7.35E-05,0,0,0,0,477,0.035078688,1,104,0.007648184,1,51,0.003750552,1,0,0,0,1,7.35E-05,0,269,0.019782321,1,3,0.000220621,1,27,0.001985586,1,822,0.060450066,1,6600,0.485365495,1,0,0,0,2,0.00014708,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.35E-05,0
20,1,E,3,1,24.30086782,53.84511794,9.8199712,1.56998007,PJ-BF-BL-BP-CA-EL-AC-BH-ER-RI-CC,2.193,12723,1,7.88E-05,0,490,0.038588754,1,0,0,0,3126,0.246180501,1,0,0,0,0,0,0,2,0.000157505,0,0,0,0,2,0.000157505,0,0,0,0,45,0.003543865,1,0,0,0,1365,0.107497244,1,400,0.031501024,1,36,0.002835092,1,0,0,0,1,7.88E-05,0,5697,0.448653331,1,145,0.011419121,1,0,0,0,621,0.048905339,1,6,0.000472515,1,761,0.059930698,1,0,0,0,0,0,0
21,1,F,3,1,16.33275242,57.63983942,12.45950116,1.74585348,PJ-BC-BY-BA-CA-EL-FP-AC-ER-CC-DF,2.448,11136,1,9.00E-05,0,552,0.049698388,1,1,9.00E-05,0,2,0.000180067,0,1,9.00E-05,0,0,0,0,1986,0.178806158,1,629,0.056630953,1,0,0,0,0,0,0,0,0,0,1656,0.149095165,1,0,0,0,499,0.044926623,1,31,0.002791033,1,3,0.0002701,1,0,0,0,1780,0.160259296,1,0,0,0,0,0,0,656,0.059061853,1,0,0,0,2056,0.18510849,1,1,9.00E-05,0,1253,0.11281174,1
22,1,G,3,1,9.97074054,61.46465294,9.18674968,1.24893804,BC-BU-BL-CA-EL-FP-AC-ER-RI-CC-DL,1.935,14153,0,0,0,0,0,0,0,0,0,2,0.000141824,0,0,0,0,1,7.09E-05,0,2605,0.184725571,1,0,0,0,587,0.041625301,1,0,0,0,193,0.013686002,1,0,0,0,0,0,0,945,0.067011771,1,155,0.010991349,1,8,0.000567295,1,1,7.09E-05,0,3956,0.280527585,1,0,0,0,0,0,0,783,0.055524039,1,2,0.000141824,1,3287,0.233087505,1,1577,0.111828109,1,0,0,0
23,1,H,3,1,33.19070304,50.53698938,7.43417748,1.89529692,BY-BU-BP-CA-EL-FP-AC-BH-CG-ER-RI,2.159,13194,1,7.59E-05,0,1,7.59E-05,0,0,0,0,1,7.59E-05,0,0,0,0,1,7.59E-05,0,0,0,0,1754,0.133100622,1,543,0.041205039,1,0,0,0,0,0,0,0,0,0,2472,0.18758537,1,735,0.055774776,1,70,0.005311883,1,5,0.00037942,1,0,0,0,4911,0.372666565,1,843,0.063970253,1,1312,0.099559873,1,519,0.039383822,1,9,0.000682956,1,0,0,0,0,0,0,1,7.59E-05,0
24,1,A,4,1,18.6494916,53.4374795,8.21895152,0.82562418,PJ-BC-BP-EL-FP-AC-BH-ER-RI-CC-DF,2.23,12864,1,7.80E-05,0,685,0.053398815,1,0,0,0,0,0,0,0,0,0,0,0,0,2113,0.164717805,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.80E-05,0,1564,0.121920798,1,2,0.000155909,0,116,0.009042719,1,23,0.001792953,1,0,0,0,5373,0.418849392,1,5,0.000389772,1,0,0,0,755,0.058855628,1,2,0.000155909,1,1195,0.093155597,1,0,0,0,993,0.077408793,1
25,1,B,4,1,20.80669336,52.10293376,11.30518832,1.69820943,BO-BC-BY-BU-BA-CA-EL-AC-RI-DL-DF,2.187,12641,1,7.93E-05,0,0,0,0,0,0,0,0,0,0,622,0.04931811,1,0,0,0,1435,0.113780526,1,632,0.050111005,1,266,0.021091024,1,0,0,0,0,0,0,1682,0.133365049,1,0,0,0,739,0.058594989,1,43,0.003409451,1,0,0,0,0,0,0,1625,0.128845544,1,0,0,0,1,7.93E-05,0,0,0,0,2,0.000158579,1,0,0,0,4394,0.348398351,1,1170,0.092768792,1
26,1,C,4,1,26.87269176,48.04685228,9.01937652,1.70113932,PC-PJ-BC-BU-BL-BP-CA-EL-FP-AC-CG-DL,2.284,12260,778,0.063660912,1,876,0.071679895,1,0,0,0,0,0,0,0,0,0,0,0,0,1608,0.131576794,1,0,0,0,413,0.033794289,1,0,0,0,24,0.001963833,1,1,8.18E-05,0,1150,0.094100319,1,422,0.034530726,1,32,0.002618444,1,10,0.000818264,1,1,8.18E-05,0,3844,0.314540545,1,0,0,0,1024,0.083790197,1,0,0,0,0,0,0,0,0,0,2038,0.166762131,1,0,0,0
27,1,D,4,1,25.52346864,48.35736578,10.05872308,1.52396289,PJ-BF-BO-BY-BU-BP-CA-EL-AC-CG-CC,2.001,11159,0,0,0,553,0.049730216,1,0,0,0,1989,0.178866906,1,521,0.046852518,1,1,8.99E-05,0,2,0.000179856,0,498,0.044784173,1,349,0.031384892,1,0,0,0,0,0,0,0,0,0,1356,0.121942446,1,409,0.036780576,1,37,0.003327338,1,0,0,0,0,0,0,3667,0.329766187,1,0,0,0,922,0.082913669,1,0,0,0,0,0,0,816,0.073381295,1,0,0,0,0,0,0
28,1,E,4,1,29.97398464,43.99914026,9.493317,15.01894479,PJ-BT-BU-BA-BP-CA-EL-FP-AC-RI-DF,1.523,12461,1,8.05E-05,0,406,0.032670797,1,0,0,0,0,0,0,0,0,0,2199,0.176953408,1,4,0.00032188,0,0,0,0,331,0.026635552,1,1,8.05E-05,0,0,0,0,1171,0.094230305,1,632,0.050857005,1,980,0.078860546,1,63,0.005069607,1,35,0.002816448,1,2,0.00016094,0,5545,0.446205842,1,0,0,0,1,8.05E-05,0,0,0,0,1,8.05E-05,1,0,0,0,0,0,0,1055,0.084895791,1
29,1,F,4,1,42.46267568,27.98694362,8.45928304,31.35541326,PJ-BF-BC-BU-BA-BP-CA-EL-AC-BH-DL,2.287,11160,1,8.99E-05,0,354,0.031808788,1,0,0,0,1145,0.102884356,1,1,8.99E-05,0,0,0,0,2320,0.208464372,1,0,0,0,264,0.023721808,1,0,0,0,1,8.99E-05,0,1144,0.102794501,1,1632,0.146643903,1,143,0.012849313,1,43,0.003863779,1,0,0,0,0,0,0,3372,0.302992183,1,7,0.000628987,1,0,0,0,0,0,0,0,0,0,1,8.99E-05,0,701,0.062988588,1,0,0,0
30,1,G,4,1,14.13484454,45.89492096,20.43005352,2.89774983,BF-BO-BT-BC-BU-CA-EL-AC-ER-RI-DF,1.919,12863,0,0,0,0,0,0,0,0,0,1332,0.103973148,1,525,0.040980407,1,2029,0.158379518,1,1228,0.095855125,1,0,0,0,302,0.023573492,1,1,7.81E-05,0,0,0,0,1,7.81E-05,0,0,0,0,586,0.045741941,1,82,0.006400749,1,0,0,0,0,0,0,2802,0.218718289,1,0,0,0,1,7.81E-05,0,398,0.031067052,1,3,0.000234174,1,0,0,0,0,0,0,3521,0.274841933,1
31,1,H,4,1,14.16921398,45.06620186,22.04291444,3.87288885,PJ-BF-BT-BC-BY-BL-CA-EL-FP-AC-ER,1.801,11740,0,0,0,759,0.064855165,1,0,0,0,914,0.078099633,1,0,0,0,1921,0.164145945,1,1923,0.164316842,1,467,0.039904298,1,0,0,0,0,0,0,110,0.009399299,1,0,0,0,0,0,0,970,0.08288473,1,45,0.003845168,1,8,0.000683585,1,0,0,0,4162,0.355635307,1,0,0,0,0,0,0,424,0.036230026,1,0,0,0,0,0,0,0,0,0,0,0,0
32,1,A,5,1,8.80378972,50.2849433,22.92419196,2.16688896,PC-PJ-BC-BY-BU-CA-EL-AC-BH-ER-RI,2.547,13353,3729,0.280249511,1,654,0.049150759,1,0,0,0,0,0,0,0,0,0,2,0.000150308,0,2694,0.202465053,1,667,0.050127762,1,597,0.044866977,1,0,0,0,0,0,0,0,0,0,0,0,0,783,0.058845634,1,109,0.008191793,1,0,0,0,1,7.52E-05,0,3541,0.266120547,1,18,0.001352773,1,0,0,0,506,0.038027957,1,3,0.000225462,1,1,7.52E-05,0,1,7.52E-05,0,0,0,0
33,1,B,5,1,10.8476213,42.28625216,23.3692828,3.94587702,PJ-BO-BT-BC-CA-EL-FP-AC-BH-ER-RI,1.914,13872,1,7.26E-05,0,1004,0.072922719,1,0,0,0,0,0,0,1773,0.128776874,1,2962,0.215136549,1,2619,0.190223707,1,0,0,0,1,7.26E-05,0,0,0,0,0,0,0,1,7.26E-05,0,1,7.26E-05,0,1016,0.073794306,1,76,0.005520046,1,11,0.000798954,1,1,7.26E-05,0,3859,0.280287623,1,12,0.000871586,1,0,0,0,428,0.031086578,1,2,0.000145264,1,0,0,0,0,0,0,1,7.26E-05,0
34,1,C,5,1,13.8516825,44.30066654,19.86033676,2.25951006,BV-BF-BC-BY-BU-CA-EL-FP-AC-ER-DF,1.845,13648,2,0.000146994,0,1,7.35E-05,0,783,0.057548141,1,1391,0.102234308,1,1,7.35E-05,0,2,0.000146994,0,2909,0.213802734,1,353,0.025944436,1,180,0.013229458,1,0,0,0,0,0,0,0,0,0,0,0,0,665,0.048875496,1,37,0.002719389,1,7,0.000514479,1,0,0,0,2559,0.188078789,1,0,0,0,1,7.35E-05,0,330,0.024254006,1,0,0,0,0,0,0,0,0,0,4385,0.322284286,1
35,1,D,5,1,31.01808252,45.10614242,17.53019,2.6516886,PJ-BF-BC-BU-BP-CA-EL-FP-CH-AC-CG,1.588,13254,0,0,0,560,0.042404967,1,1,7.57E-05,0,1327,0.100484628,1,1,7.57E-05,0,1,7.57E-05,0,3080,0.233227321,1,0,0,0,504,0.038164471,1,0,0,0,0,0,0,0,0,0,947,0.071709829,1,425,0.032182341,1,18,0.001363017,1,8,0.000605785,1,1154,0.087384522,1,2905,0.219975769,1,0,0,0,2273,0.172118734,1,1,7.57E-05,0,0,0,0,1,7.57E-05,0,0,0,0,0,0,0
36,1,E,5,1,21.83802884,42.4958807,17.45444,2.29139214,PJ-BV-BO-BT-BY-BU-CA-EL-AC-CG-DF,2.481,11794,0,0,0,527,0.04482436,1,749,0.063706728,1,1,8.51E-05,0,568,0.048311644,1,2690,0.228799864,1,4,0.000340223,0,401,0.03410734,1,209,0.017776644,1,0,0,0,0,0,0,0,0,0,0,0,0,533,0.045334694,1,86,0.007314791,1,0,0,0,0,0,0,3011,0.256102747,1,0,0,0,915,0.077825976,1,1,8.51E-05,0,0,0,0,0,0,0,1,8.51E-05,0,2061,0.175299821,1
37,1,F,5,1,24.11615434,40.32125858,19.1705108,1.65809775,PJ-BO-BC-BY-BU-CA-FP-AC-BH-CG-RI,1.878,10714,0,0,0,550,0.051478847,1,0,0,0,1,9.36E-05,0,1107,0.103612879,1,2,0.000187196,0,1869,0.174934481,1,488,0.045675777,1,491,0.045956571,1,0,0,0,0,0,0,2,0.000187196,0,0,0,0,914,0.085548484,1,0,0,0,37,0.003463122,1,1,9.36E-05,0,3208,0.300262074,1,7,0.000655185,1,2001,0.187289405,1,0,0,0,5,0.00046799,1,0,0,0,1,9.36E-05,0,0,0,0
38,1,G,5,1,28.13357236,43.20936974,19.46532576,1.87578591,PJ-BO-BC-BY-BU-BA-CA-EL-CH-AC-ER,1.896,12139,1,8.29E-05,0,388,0.032180476,1,0,0,0,0,0,0,1569,0.130131874,1,0,0,0,2024,0.167869288,1,487,0.040391474,1,915,0.075889525,1,0,0,0,0,0,0,2409,0.199800946,1,0,0,0,312,0.025877084,1,81,0.006718089,1,0,0,0,945,0.078377706,1,1992,0.165215228,1,0,0,0,0,0,0,932,0.077299494,1,0,0,0,0,0,0,1,8.29E-05,0,1,8.29E-05,0
39,1,H,5,1,24.51130644,44.89867604,20.46410668,2.89512855,PJ-BO-BT-BU-BP-CA-EL-CH-AC-BH-RI,1.95,13602,1,7.39E-05,0,649,0.047932053,1,0,0,0,0,0,0,1542,0.113884786,1,2910,0.214918759,1,0,0,0,0,0,0,438,0.032348597,1,0,0,0,0,0,0,1,7.39E-05,0,588,0.043426883,1,399,0.029468242,1,23,0.001698671,1,0,0,0,2751,0.203175775,1,4228,0.31225997,1,7,0.000516987,1,0,0,0,0,0,0,2,0.00014771,1,0,0,0,0,0,0,1,7.39E-05,0
40,1,A,6,1,49.77959704,8.92174142,16.7202912,34.26059541,BY-BU-DP-BL-CA-EL-CH-BH-CG-CC-DF,2.244,14229,0,0,0,0,0,0,0,0,0,1,7.05E-05,0,0,0,0,1,7.05E-05,0,0,0,0,2686,0.189314914,1,1116,0.078658021,1,109,0.007682549,1,80,0.005638568,1,2,0.000140964,0,0,0,0,326,0.022977164,1,56,0.003946997,1,0,0,0,4505,0.317521849,1,0,0,0,9,0.000634339,1,802,0.056526642,1,0,0,0,0,0,0,2153,0.151747956,1,1,7.05E-05,0,2341,0.16499859,1
41,1,B,6,1,43.74981566,1.28613872,11.035789,41.67140736,PJ-BV-BF-BO-BY-DP-BL-BA-FP-CG-DL-DF,1.79,11410,1,9.07E-05,0,795,0.072069622,1,294,0.026652162,1,1968,0.178406309,1,1634,0.148128003,1,8,0.000725229,0,0,0,0,1054,0.095548908,1,0,0,0,100,0.009065361,1,169,0.015320461,1,2555,0.23161998,1,0,0,0,0,0,0,0,0,0,43,0.003898105,1,0,0,0,3,0.000271961,0,0,0,0,1341,0.121566494,1,0,0,0,0,0,0,0,0,0,351,0.031819418,1,711,0.064454719,1
42,1,C,6,1,46.29089112,6.96094742,12.99700296,40.37371374,PJ-BV-BY-BA-EL-FP-CH-BH-ER-DL-DF,2.032,14215,2,0.000140954,0,1123,0.079145817,1,745,0.052505462,1,1,7.05E-05,0,0,0,0,0,0,0,2,0.000140954,0,1628,0.114736768,1,0,0,0,0,0,0,0,0,0,3756,0.264712101,1,2,0.000140954,0,0,0,0,73,0.005144831,1,67,0.004721968,1,833,0.058707449,1,1,7.05E-05,0,20,0.001409543,1,0,0,0,4010,0.282613292,1,0,0,0,0,0,0,894,0.063006554,1,1032,0.072732398,1
43,1,D,6,1,42.80643686,3.27737522,9.07371452,40.9967097,PC-BV-BY-DP-BA-CH-BH-CG-CC-DL-DF,1.532,10801,1236,0.114699332,1,2,0.000185598,0,1005,0.093262806,1,1,9.28E-05,0,0,0,0,0,0,0,1,9.28E-05,0,2523,0.234131403,1,0,0,0,134,0.012435041,1,0,0,0,353,0.032757981,1,1,9.28E-05,0,0,0,0,0,0,0,0,0,0,1131,0.104955457,1,0,0,0,21,0.001948775,1,1953,0.18123608,1,0,0,0,0,0,0,1249,0.115905716,1,237,0.021993318,1,929,0.086210097,1
